OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREDATE,CAPTUREACTION,DISSOLVE,SHAPEAREA,SHAPELEN
22864,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,80.8857546875,36.983717195748
22865,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,81.271783203125,37.1509580123838
22866,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,120.164659375,43.8630728499344
22867,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,119.462643945312,43.7881677125624
22868,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,18.974134375,26.0320674162957
22869,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,21.0618140625,26.7202311964133
22870,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,94.04275234375,41.3386788723655
22871,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,89.8581275390625,39.6286055998427
22872,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,92.83912890625,40.9624171104941
22873,,1091,Hidden Road,2015-04-24T00:00:00.000Z,A,,89.77951328125,39.5748459730611
22874,,1050,Road,2015-04-24T00:00:00.000Z,A,1,33.1463212890625,24.5227458509073
22875,,1050,Road,2015-04-24T00:00:00.000Z,A,1,27.5247978515625,22.9669072536196
22876,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,71.39702578125,37.4639353986268
22877,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,69.2314205078125,36.1175370024629
22878,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,32.8346837890625,24.5394422023685
22879,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,209.931942578125,61.778183301097
22880,,1050,Road,2015-04-24T00:00:00.000Z,A,1,286.737944726563,92.8736994384727
22881,,1050,Road,2015-04-24T00:00:00.000Z,A,1,225.71323359375,76.5881570687438
22882,,1050,Road,2015-04-24T00:00:00.000Z,A,1,99.784913671875,42.9800635903052
22883,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,181.05108984375,59.481012921846
22884,,1050,Road,2015-04-24T00:00:00.000Z,A,1,180.980957421875,64.0268126311148
22885,,1058,Unpaved Median Island,2015-04-24T00:00:00.000Z,A,,994.65560390625,247.685497065785
22886,,1092,Hidden Median,2015-04-24T00:00:00.000Z,A,,50.1127560546875,32.3649587090649
22887,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,3.8439982421875,8.1647543073175
22888,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,4.3788447265625,8.71998123765149
22889,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,3.940453125,7.9970217660481
22890,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,4.3333232421875,8.27046376585992
22891,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,4.6994251953125,9.12830332148927
22892,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,6.2959125,10.6683295587487
22893,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,1.8416318359375,5.54899752558978
22894,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,1.83030625,6.21221739313951
22895,,1055,Paved Median Island,2015-04-24T00:00:00.000Z,A,,2.75609296875,6.63507886617989
22896,,1058,Unpaved Median Island,2015-04-24T00:00:00.000Z,A,,3.7263314453125,8.42309630287156
